Timeslot,GridUsage,SolarUsage,SolarBatteryUsage
171,1,22.041,0
172,1,14.6969,0
173,1,37.3589,0
174,1,14.6969,0
175,1,11.773,0
176,1,9.29795,0
177,1,26.536,0
178,1,18.1071,0
179,1,31.6295,0
180,1,14.6969,0
181,1,26.536,0
182,1,58.7365,0
183,1,31.6295,0
184,1,22.041,0
185,1,37.3589,0
186,1,26.536,0
187,1,18.1071,0
188,1,18.1071,0
189,1,14.6969,0
190,1,26.536,0
191,1,11.773,0
192,1,14.6969,0
193,1,14.6969,0
194,1,14.6969,0
195,1,26.536,0
196,1,26.536,0
197,1,18.1071,0
198,1,11.773,0
199,1,14.6969,0
200,1,14.6969,0
201,1,26.536,0
202,1,11.773,0
203,1,11.773,0
204,1,14.6969,0
205,1,18.1071,0
206,1,37.3589,0
207,1,31.6295,0
208,1,31.6295,0
209,1,18.1071,0
210,1,26.536,0
211,1,22.041,0
212,1,26.536,0
213,1,43.7616,0
214,1,87.184,0
215,1,87.184,0
216,1,76.8536,0
217,1,37.3589,0
218,1,87.184,0
219,1,43.7616,0
220,1,98.4121,0
221,1,87.184,0
222,1,67.3836,0
223,1,58.7365,0
224,1,67.3836,0
225,1,37.3589,0
226,1,58.7365,0
227,1,43.7616,0
228,1,18.1071,0
229,1,18.1071,0
230,1,11.773,0
231,1,31.6295,0
232,1,26.536,0
233,1,14.6969,0
234,1,26.536,0
235,1,67.3836,0
236,1,87.184,0
237,1,98.4121,0
238,1,110.575,0
239,1,87.184,0
240,1,98.4121,0
241,1,67.3836,0
242,1,31.6295,0
243,1,37.3589,0
244,1,43.7616,0
245,1,50.875,0
246,1,58.7365,0
247,1,50.875,0
248,1,31.6295,0
249,1,76.8536,0
250,1,37.3589,0
251,1,50.875,0
252,1,43.7616,0
253,1,18.1071,0
254,1,37.3589,0
255,1,37.3589,0
256,1,50.875,0
257,1,37.3589,0
258,1,26.536,0
259,1,14.6969,0
260,1,26.536,0
261,1,9.29795,0
262,1,37.3589,0
263,1,58.7365,0
264,1,98.4121,0
265,1,87.184,0
266,1,98.4121,0
267,1,98.4121,0
268,1,123.711,0
269,1,110.575,0
270,1,87.184,0
271,1,58.7365,0
272,1,67.3836,0
273,1,37.3589,0
274,1,37.3589,0
275,1,50.875,0
276,1,37.3589,0
277,1,37.3589,0
278,1,31.6295,0
279,1,87.184,0
280,1,50.875,0
281,1,58.7365,0
282,1,31.6295,0
283,1,50.875,0
284,1,43.7616,0
285,1,37.3589,0
286,1,18.1071,0
287,1,22.041,0
288,1,31.6295,0
289,1,22.041,0
290,1,31.6295,0
291,1,43.7616,0
292,1,14.6969,0
293,1,87.184,0
294,1,87.184,0
295,1,50.875,0
296,1,98.4121,0
297,1,98.4121,0
298,1,87.184,0
299,1,76.8536,0
300,1,67.3836,0
301,1,76.8536,0
302,1,50.875,0
303,1,76.8536,0
304,1,31.6295,0
305,1,76.8536,0
306,1,58.7365,0
307,1,58.7365,0
308,1,58.7365,0
309,1,67.3836,0
310,1,58.7365,0
311,1,98.4121,0
312,1,87.184,0
313,1,186.728,0
314,1,110.575,0
315,1,207,18.0447
316,1,186.728,0
317,1,200,25.0447
318,1,169.328,0
319,1,98.4121,0
320,1,169.328,0
321,1,196,9.288
322,1,123.711,0
323,1,123.711,0
324,1,186,0.728266
325,1,169.328,0
326,1,123.711,0
327,1,110.575,0
328,1,153.05,0
329,1,153.05,0
330,1,166,3.32812
331,1,110.575,0
